time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2018-04-02 00:00:00+00:00,btc,485666,1.34269917,119244423031.535719725400897356,27227579.616214,75.85721432,7033.25960958504,16954361.08586515,167141,1571958897.9677922812519527416,35.3948557248248
2018-04-03 00:00:00+00:00,btc,605514,1.41752889,125830051366.808438478426160503,28449329.9836082,52.78843322,7420.80051548802,16956398.58586515,203600,2383667097.1094460388203286668,35.3551340685178
2018-04-04 00:00:00+00:00,btc,565002,1.29795987,114986059183.0864292533816261775,25656757.7152785,64.53935521,6780.54360140269,16958236.08586475,183926,1781642515.9102038347673104506,35.2983528608664
2018-04-05 00:00:00+00:00,btc,534893,1.30312944,115302512667.860406801331015884,27227579.616214,69.72421614,6798.42261659848,16960186.08586455,181407,1653693925.089356234811963656,35.2455007134207
2018-04-06 00:00:00+00:00,btc,631476,1.26963243,112126583471.018072379468047652,24085935.8143431,72.22993893,6610.49234979544,16961911.08586455,169899,1552356060.7935308096989093864,35.1993220358648
2018-04-07 00:00:00+00:00,btc,502038,1.32349168,116823177434.9844313604306631465,31416438.0187084,92.69629983,6886.46947194623,16964161.08586455,155865,1260278755.9762189049079059054,35.1481206515956
2018-04-08 00:00:00+00:00,btc,414992,1.34758367,118932810742.211532740175744168,28100258.450067,104.08993379,7009.99610432496,16966173.58586455,139770,1142596660.5072450967304266032,35.1200691040765
2018-04-09 00:00:00+00:00,btc,535496,1.29733763,114311672118.168148506824251707,25656757.7152785,64.87513004,6736.89282378726,16968011.08584445,174115,1762026095.9718012199378374924,35.1040645925237
2018-04-10 00:00:00+00:00,btc,569509,1.3143587,115680131308.8514411063598644725,28623865.7503788,72.78399062,6816.71861542957,16970061.08584425,188256,1589362307.8098011898254118349,35.0615575488225
2018-04-11 00:00:00+00:00,btc,533732,1.33919481,117867416604.6504691650369621175,28100258.450067,58.09140222,6944.78585710111,16972073.58584425,179955,2028999337.0899305603669624226,35.0132598484132
2018-04-12 00:00:00+00:00,btc,629328,1.52215846,134168090914.608213197070830685,26878508.0826727,48.13569231,7904.33027527762,16973998.58584425,216526,2787289108.7857038527048758192,34.9737849538294
2018-04-13 00:00:00+00:00,btc,638968,1.52369622,134434525998.6730986962230430775,28798401.5171494,58.16379181,7919.06469462303,16976061.08584425,213311,2311309524.5154028623460995927,34.9357828929291
2018-04-14 00:00:00+00:00,btc,502546,1.54037773,135931151075.1241780455536374425,25934796.2703183,103.49369604,8006.41794330801,16977773.58584425,165043,1313424452.7046302369031309689,34.8661510439942
2018-04-15 00:00:00+00:00,btc,590187,1.60406337,141650187328.7155170881778710325,31109116.9538305,106.95597647,8342.27110140269,16979811.08584425,170677,1324378421.9013787409594326355,34.828924381503
